player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
301,25-26-prem-manchester-united-vs-everton,2,0,0,0,0.0,0.0,0,0,0,0,7,3,0.0,0.0,1,0,0.0,1,0.0,0,0,3,0,0,0,0,1,1,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,25-26-prem-manchester-united-vs-everton,9,0,0,0,0.0,0.0,0,0,0,0,9,3,0.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,25-26-prem-brighton-hove-albion-vs-brentford,89,0,0,2,0.06,0.02,1,3,0,8,48,15,0.0,1.0,7,0,0.0,1,0.0,0,0,5,0,0,0,1,8,6,7,0.0,1,0.0,2,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.02,2,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,25-26-prem-brighton-hove-albion-vs-brentford,90,0,0,0,0.0,0.01,0,0,0,3,97,74,0.0,0.0,14,0,0.0,3,0.0,0,0,5,0,4,4,0,5,1,3,0.0,2,0.0,2,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,25-26-prem-brighton-hove-albion-vs-brentford,90,0,0,1,0.03,0.11,0,2,0,5,40,9,0.0,1.0,1,0,0.0,0,0.0,0,0,7,0,1,1,1,8,6,6,0.0,2,0.0,2,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,25-26-prem-brighton-hove-albion-vs-brentford,90,0,0,1,0.05,0.08,1,0,0,2,67,34,0.0,0.0,6,0,0.0,0,0.0,0,0,5,0,4,2,2,8,9,3,0.0,5,0.0,1,4,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.15,3,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,25-26-prem-brighton-hove-albion-vs-brentford,65,0,0,0,0.0,0.01,0,0,0,2,37,12,0.0,0.0,2,0,0.0,1,0.0,0,3,5,0,1,0,0,4,5,3,0.0,1,0.0,2,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,25-26-prem-brighton-hove-albion-vs-brentford,90,0,0,1,0.02,0.01,0,0,0,2,45,28,0.0,0.0,1,0,0.0,1,0.0,0,1,5,0,8,5,0,4,0,2,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,25-26-prem-brighton-hove-albion-vs-brentford,25,0,0,1,0.02,0.0,1,0,0,1,16,2,0.0,0.0,1,0,0.0,0,0.0,0,0,2,0,2,1,1,3,2,3,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.08,2,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,25-26-prem-brighton-hove-albion-vs-brentford,80,0,0,0,0.0,0.11,0,1,0,3,34,10,0.0,1.0,3,1,0.0,0,0.0,0,0,3,0,0,0,0,5,5,5,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,4,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
